City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Benghazi,LY,32.1167,20.0667,61.47,70,100,11.97,overcast clouds
114,Pochutla,MX,15.7432,-96.4661,84.2,58,90,7.07,overcast clouds
115,Saint-Augustin,CA,51.226,-58.6502,33.84,88,100,23.2,overcast clouds
116,Marienburg,PL,54.0359,19.0266,33.01,100,100,4.76,overcast clouds
117,Virginia Beach,US,36.8529,-75.978,42.01,45,75,5.75,broken clouds
118,Pangkalanbuun,ID,-2.6833,111.6167,74.93,92,100,1.1,overcast clouds
119,Laela,TZ,-8.5667,32.05,62.74,94,100,2.33,moderate rain
120,Acapulco,MX,16.8634,-99.8901,86.0,70,40,9.22,scattered clouds
121,Salinopolis,BR,-0.6136,-47.3561,79.18,85,100,10.36,overcast clouds
122,Half Moon Bay,US,37.4636,-122.4286,52.0,81,75,6.91,light rain
123,Namatanai,PG,-3.6667,152.4333,80.74,76,11,3.04,few clouds
124,Batemans Bay,AU,-35.7167,150.1833,73.99,97,34,1.99,scattered clouds
125,Kaitangata,NZ,-46.2817,169.8464,58.33,76,100,6.42,overcast clouds
126,Scarborough,GB,54.2797,-0.4044,30.99,87,50,7.4,scattered clouds
127,Haldibari,IN,26.3333,88.7667,60.21,59,0,3.13,clear sky
128,Kahului,US,20.8947,-156.47,82.4,51,20,3.44,few clouds
129,Bathsheba,BB,13.2167,-59.5167,80.6,69,40,17.27,scattered clouds
130,Nikolskoye,RU,59.7035,30.7861,35.6,87,90,11.18,light snow
131,Ostersund,SE,63.1792,14.6357,15.8,92,90,3.44,light snow
132,Plettenberg Bay,ZA,-34.0527,23.3716,64.26,79,39,14.05,scattered clouds
133,Ribeira Grande,PT,38.5167,-28.7,64.4,94,75,21.85,broken clouds
134,Ishigaki,JP,24.3448,124.1572,64.76,61,100,4.9,overcast clouds
135,Souillac,MU,-20.5167,57.5167,78.8,83,75,6.91,broken clouds
136,Gusau,NG,12.1628,6.6614,71.1,20,32,9.35,scattered clouds
137,Mareeba,AU,-17.0,145.4333,73.4,83,98,2.3,overcast clouds
138,New Norfolk,AU,-42.7826,147.0587,72.0,45,0,6.91,clear sky
139,Bahia Blanca,AR,-38.7196,-62.2724,101.82,16,8,3.78,clear sky
